year,type_of_work,n,proportion
2017,Addition / Alteration,3133,0.46525096525096526
2017,Demolition / Deconstruction,877,0.13023463023463022
2017,New Building,1527,0.22675972675972675
2017,Outdoor Uses (No Buildings Proposed),11,0.0016335016335016334
2017,Salvage and Abatement,1113,0.1652806652806653
2017,Temporary Building / Structure,73,0.010840510840510841
2018,Addition / Alteration,3321,0.49141757916543355
2018,Demolition / Deconstruction,836,0.12370523823616454
2018,New Building,1674,0.24770642201834864
2018,Outdoor Uses (No Buildings Proposed),9,0.0013317549570878958
2018,Salvage and Abatement,858,0.1269606392423794
2018,Temporary Building / Structure,60,0.008878366380585973
2019,Addition / Alteration,3042,0.5459440057430007
2019,Demolition / Deconstruction,663,0.11898779612347452
2019,New Building,1192,0.2139267767408471
2019,Outdoor Uses (No Buildings Proposed),6,0.0010768126346015793
2019,Salvage and Abatement,597,0.10714285714285714
2019,Temporary Building / Structure,72,0.012921751615218953
2020,Addition / Alteration,884,0.5470297029702971
2020,Demolition / Deconstruction,189,0.11695544554455446
2020,New Building,335,0.2073019801980198
2020,Outdoor Uses (No Buildings Proposed),1,6.188118811881188e-4
2020,Salvage and Abatement,195,0.12066831683168316
2020,Temporary Building / Structure,12,0.007425742574257425
